rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports
1,156,20260502,20260501,80.5,中,中立,全体陽線率,4,33220,images/156.png,第1サポート:10033下(23187) / 第2サポート:20743下(12477) / 第3サポート:23810下(9410) / 第4サポート:30173下(3047) / 最重要サポート:38054下(-4834)
2,158,20260502,20260501,80.5,中,中立,全体陽線率,4,17327,images/158.png,第1サポート:5898下(11429) / 第2サポート:13100下(4227) / 第3サポート:18921下(-1594) / 第4サポート:23048下(-5721) / 最重要サポート:34181下(-16854)
3,39,20260502,20260501,56.34,低〜中,弱トレンド,陽線2連続後,31,-101225,images/39.png,第1サポート:1660下(-102885) / 第2サポート:5065下(-106290) / 第3サポート:10060下(-111285) / 第4サポート:15356下(-116581) / 最重要サポート:28585下(-129810)
4,62,20260502,20260501,55.5,高,順張り寄り,陽線2連続後,30,-314715,images/62.png,第1サポート:12602下(-327317) / 第2サポート:15918下(-330633) / 第3サポート:26460下(-341175) / 第4サポート:32367下(-347082) / 最重要サポート:39718下(-354433)
5,38,20260502,20260501,52.01,高,中立,陰線2連続後,43,-227363,images/38.png,第1サポート:2497下(-229860) / 第2サポート:5201下(-232564) / 第3サポート:10360下(-237723) / 第4サポート:13889下(-241252) / 最重要サポート:27598下(-254961)
6,66,20260502,20260501,51.55,高,中立,陽線1連続後,76,-182818,images/66.png,第1サポート:3525下(-186343) / 第2サポート:7848下(-190666) / 第3サポート:15151下(-197969) / 第4サポート:20987下(-203805) / 最重要サポート:24316下(-207134)
7,114,20260502,20260501,49.94,低〜中,中立,陽線2連続後,9,-85289,images/114.png,第1サポート:15027下(-100316) / 第2サポート:33062下(-118351) / 第3サポート:45190下(-130479) / 第4サポート:76350下(-161639) / 最重要サポート:81828下(-167117)
8,76,20260502,20260501,49.35,高,中立,陽線後,130,-198499,images/76.png,第1サポート:6614下(-205113) / 第2サポート:11456下(-209955) / 第3サポート:16808下(-215307) / 第4サポート:20037下(-218536) / 最重要サポート:27534下(-226033)
9,57,20260502,20260501,49.25,中,中立,陽線2連続後,32,-61253,images/57.png,第1サポート:11817下(-73070) / 第2サポート:21600下(-82853) / 第3サポート:31174下(-92427) / 第4サポート:35955下(-97208) / 最重要サポート:39086下(-100339)
10,54,20260502,20260501,49.2,高,中立,陽線後,119,-198359,images/54.png,第1サポート:12319下(-210678) / 第2サポート:16500下(-214859) / 第3サポート:28799下(-227158) / 第4サポート:32262下(-230621) / 最重要サポート:38758下(-237117)
11,75,20260502,20260501,49.09,中,中立,陽線1連続後,78,-20263,images/75.png,第1サポート:11330下(-31593) / 第2サポート:14521下(-34784) / 第3サポート:24236下(-44499) / 第4サポート:27949下(-48212) / 最重要サポート:46302下(-66565)
12,68,20260502,20260501,48.47,低,弱トレンド,陽線1連続後,63,-7422,images/68.png,第1サポート:4560下(-11982) / 第2サポート:9479下(-16901)
