rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports
1,110,20260429,20260428,69.79,高,順張り寄り,陽線2連続後,14,222644,images/110.png,第1サポート:27016下(195628) / 第2サポート:32044下(190600) / 第3サポート:44022下(178622) / 第4サポート:46855下(175789) / 最重要サポート:52788下(169856)
2,66,20260429,20260428,60.26,高,順張り寄り,陰線2連続後,34,-188334,images/66.png,第1サポート:2770下(-191104) / 第2サポート:6532下(-194866) / 第3サポート:15450下(-203784) / 第4サポート:20802下(-209136) / 最重要サポート:24350下(-212684)
3,151,20260429,20260428,56.39,低〜中,反発狙い,陰線3連続後,19,-24341,images/151.png,第1サポート:5215下(-29556) / 第2サポート:8334下(-32675) / 第3サポート:13217下(-37558) / 第4サポート:15790下(-40131) / 最重要サポート:22733下(-47074)
4,122,20260429,20260428,54.28,高,中立,陰線1連続後,41,-172600,images/122.png,第1サポート:8528下(-181128) / 第2サポート:22159下(-194759) / 第3サポート:31300下(-203900) / 第4サポート:38315下(-210915) / 最重要サポート:41579下(-214179)
5,120,20260429,20260428,51.65,高,中立,陰線2連続後,26,87856,images/120.png,第1サポート:5934下(81922) / 第2サポート:11797下(76059) / 第3サポート:25196下(62660) / 第4サポート:28628下(59228) / 最重要サポート:35524下(52332)
6,56,20260429,20260428,51.64,低,反発狙い・要注意,陰線3連続後,21,33212,images/56.png,第1サポート:3665下(29547)
7,114,20260429,20260428,51.64,低,反発狙い・要注意,陰線4連続後,7,-152460,images/114.png,第1サポート:6667下(-159127)
8,44,20260429,20260428,50.78,高,中立,陽線1連続後,69,70729,images/44.png,第1サポート:2695下(68034) / 第2サポート:7043下(63686) / 第3サポート:11372下(59357) / 第4サポート:25622下(45107) / 最重要サポート:33815下(36914)
9,72,20260429,20260428,50.78,高,中立,陽線1連続後,69,210532,images/72.png,第1サポート:4753下(205779) / 第2サポート:12125下(198407) / 第3サポート:17267下(193265) / 第4サポート:21639下(188893) / 最重要サポート:24637下(185895)
10,77,20260429,20260428,50.75,低〜中,弱トレンド,陽線1連続後,67,-312327,images/77.png,第1サポート:15559下(-327886) / 第2サポート:26293下(-338620) / 第3サポート:29084下(-341411)
11,53,20260429,20260428,49.94,中,中立,陽線2連続後,27,-66626,images/53.png,第1サポート:18284下(-84910) / 第2サポート:26407下(-93033) / 第3サポート:34863下(-101489) / 第4サポート:38721下(-105347) / 最重要サポート:51015下(-117641)
12,74,20260429,20260428,49.79,高,中立,陽線1連続後,70,-35349,images/74.png,第1サポート:5136下(-40485) / 第2サポート:8193下(-43542) / 第3サポート:19510下(-54859) / 第4サポート:22706下(-58055) / 最重要サポート:28338下(-63687)
13,55,20260429,20260428,49.76,低〜中,中立,陰線2連続後,38,-49546,images/55.png,第1サポート:20349下(-69895)
