rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports
1,113,20260523,20260522,62.92,低,弱トレンド,陰線2連続後,19,107364,images/113.png,第1サポート:272下(107092)
2,50,20260523,20260522,55.5,低〜中,中立,陽線4連続後,6,-195326,images/50.png,第1サポート:2126下(-197452) / 第2サポート:8242下(-203568) / 第3サポート:13001下(-208327) / 第4サポート:18193下(-213519) / 最重要サポート:20969下(-216295)
3,158,20260523,20260522,55.5,中,順張り寄り,陰線1連続後,6,61352,images/158.png,第1サポート:9290下(52062) / 第2サポート:18257下(43095) / 第3サポート:24759下(36593) / 第4サポート:35136下(26216) / 最重要サポート:39903下(21449)
4,56,20260523,20260522,55.02,低,反発狙い・弱トレンド,陰線3連続後,23,-45157,images/56.png,第1サポート:1513下(-46670) / 第2サポート:5596下(-50753) / 第3サポート:10331下(-55488) / 第4サポート:20225下(-65382) / 最重要サポート:38690下(-83847)
5,41,20260523,20260522,54.45,高,中立,陽線1連続後,77,-331099,images/41.png,第1サポート:7555下(-338654) / 第2サポート:17051下(-348150) / 第3サポート:21403下(-352502) / 第4サポート:26741下(-357840) / 最重要サポート:34944下(-366043)
6,110,20260523,20260522,54.07,高,中立,陰線1連続後,35,287842,images/110.png,第1サポート:4807下(283035) / 第2サポート:13287下(274555) / 第3サポート:24074下(263768) / 第4サポート:26866下(260976) / 最重要サポート:30717下(257125)
7,117,20260523,20260522,53.5,中,中立,陰線2連続後,20,1807,images/117.png,第1サポート:1980下(-173) / 第2サポート:4694下(-2887) / 第3サポート:16896下(-15089) / 第4サポート:31609下(-29802) / 最重要サポート:41589下(-39782)
8,40,20260523,20260522,51.45,高,中立,陽線2連続後,37,123418,images/40.png,第1サポート:3310下(120108) / 第2サポート:11152下(112266) / 第3サポート:17088下(106330) / 第4サポート:29605下(93813) / 最重要サポート:33927下(89491)
9,47,20260523,20260522,51.02,低,反発狙い,陰線3連続後,23,-212764,images/47.png,第1サポート:3644下(-216408) / 第2サポート:7203下(-219967) / 第3サポート:16684下(-229448) / 第4サポート:20130下(-232894) / 最重要サポート:29669下(-242433)
10,52,20260523,20260522,50.43,高,中立,陽線1連続後,69,-271889,images/52.png,第1サポート:21821下(-293710) / 第2サポート:32660下(-304549) / 第3サポート:35400下(-307289) / 第4サポート:38707下(-310596) / 最重要サポート:42440下(-314329)
11,46,20260523,20260522,50.24,高,中立,陽線1連続後,76,-304822,images/46.png,第1サポート:3946下(-308768) / 第2サポート:7405下(-312227) / 第3サポート:11570下(-316392) / 第4サポート:15400下(-320222) / 最重要サポート:24921下(-329743)
12,45,20260523,20260522,50.06,低,反発狙い・要注意,陰線5連続後,9,-243017,images/45.png,第1サポート:95下(-243112)
13,57,20260523,20260522,49.25,高,中立,陽線3連続後,16,1566,images/57.png,第1サポート:9125下(-7559) / 第2サポート:13405下(-11839) / 第3サポート:17780下(-16214) / 第4サポート:27536下(-25970) / 最重要サポート:33787下(-32221)
14,49,20260523,20260522,48.5,低,弱トレンド,陰線2連続後,48,-112324,images/49.png,第1サポート:2771下(-115095) / 第2サポート:7947下(-120271) / 第3サポート:11223下(-123547) / 第4サポート:14872下(-127196) / 最重要サポート:27431下(-139755)
15,55,20260523,20260522,47.99,低,弱トレンド,陰線2連続後,43,-157652,images/55.png,第1サポート:2884下(-160536)
16,118,20260523,20260522,45.5,低〜中,弱トレンド,陰線2連続後,25,-73048,images/118.png,第1サポート:2382下(-75430) / 第2サポート:14746下(-87794) / 第3サポート:20927下(-93975)
