rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports
1,156,20260501,20260430,70.67,低〜中,中立,全体陽線率,3,15124,images/156.png,第1サポート:11197下(3927) / 第2サポート:18226下(-3102) / 第3サポート:22812下(-7688) / 第4サポート:29589下(-14465) / 最重要サポート:37677下(-22553)
2,158,20260501,20260430,70.67,低〜中,中立,全体陽線率,3,1839,images/158.png,第1サポート:6423下(-4584) / 第2サポート:10565下(-8726) / 第3サポート:14299下(-12460) / 第4サポート:17259下(-15420) / 最重要サポート:22025下(-20186)
3,113,20260501,20260430,68.0,高,順張り寄り,陽線2連続後,16,179191,images/113.png,第1サポート:2427下(176764) / 第2サポート:10938下(168253) / 第3サポート:15130下(164061) / 第4サポート:23350下(155841) / 最重要サポート:42338下(136853)
4,121,20260501,20260430,60.76,高,順張り寄り,陰線1連続後,38,10739,images/121.png,第1サポート:4102下(6637) / 第2サポート:16637下(-5898) / 第3サポート:25814下(-15075) / 第4サポート:28727下(-17988) / 最重要サポート:33931下(-23192)
5,151,20260501,20260430,58.5,低,反発狙い,陰線5連続後,5,-24859,images/151.png,第1サポート:3749下(-28608) / 第2サポート:12711下(-37570) / 第3サポート:15272下(-40131) / 第4サポート:22215下(-47074) / 最重要サポート:26336下(-51195)
6,133,20260501,20260430,58.28,高,中立,陰線1連続後,36,3607,images/133.png,第1サポート:6266下(-2659) / 第2サポート:15789下(-12182) / 第3サポート:30254下(-26647) / 第4サポート:37678下(-34071) / 最重要サポート:51449下(-47842)
7,108,20260501,20260430,57.06,低,弱トレンド,陽線2連続後,9,-214909,images/108.png,第1サポート:11919下(-226828) / 第2サポート:18530下(-233439) / 第3サポート:21742下(-236651) / 第4サポート:26771下(-241680) / 最重要サポート:30784下(-245693)
8,137,20260501,20260430,57.0,低,反発狙い・要注意,陰線3連続後,8,-346299,images/137.png,第1サポート:2990下(-349289)
9,48,20260501,20260430,55.5,高,順張り寄り,陽線1連続後,70,-268099,images/48.png,第1サポート:14837下(-282936) / 第2サポート:22245下(-290344) / 第3サポート:26244下(-294343) / 第4サポート:37833下(-305932) / 最重要サポート:42772下(-310871)
10,51,20260501,20260430,55.5,高,順張り寄り,陽線2連続後,30,57367,images/51.png,第1サポート:10269下(47098) / 第2サポート:16127下(41240) / 第3サポート:18796下(38571) / 第4サポート:23810下(33557) / 最重要サポート:36754下(20613)
11,47,20260501,20260430,53.29,高,中立,陽線1連続後,63,-202345,images/47.png,第1サポート:2430下(-204775) / 第2サポート:7608下(-209953) / 第3サポート:12355下(-214700) / 第4サポート:16544下(-218889) / 最重要サポート:23056下(-225401)
12,38,20260501,20260430,53.12,高,中立,陰線1連続後,84,-227174,images/38.png,第1サポート:3694下(-230868) / 第2サポート:9608下(-236782) / 第3サポート:12166下(-239340) / 第4サポート:27787下(-254961)
13,109,20260501,20260430,52.35,低,反発狙い,陰線3連続後,13,-332624,images/109.png,第1サポート:23467下(-356091) / 第2サポート:45890下(-378514) / 第3サポート:53430下(-386054) / 第4サポート:68313下(-400937) / 最重要サポート:89030下(-421654)
14,59,20260501,20260430,52.01,高,中立,陰線2連続後,43,-328848,images/59.png,第1サポート:2317下(-331165) / 第2サポート:6395下(-335243) / 第3サポート:20035下(-348883) / 第4サポート:27311下(-356159) / 最重要サポート:31327下(-360175)
15,61,20260501,20260430,51.64,低,反発狙い・要注意,陰線5連続後,7,4060,images/61.png,第1サポート:5626下(-1566)
16,58,20260501,20260430,51.5,低〜中,弱トレンド,陽線1連続後,64,-316622,images/58.png,第1サポート:6715下(-323337) / 第2サポート:18418下(-335040) / 第3サポート:32365下(-348987) / 第4サポート:35238下(-351860)
17,64,20260501,20260430,50.22,高,中立,陰線2連続後,39,-178301,images/64.png,第1サポート:3118下(-181419) / 第2サポート:7525下(-185826) / 第3サポート:21786下(-200087) / 第4サポート:24569下(-202870)
18,75,20260501,20260430,49.89,低〜中,弱トレンド,陰線2連続後,31,-37746,images/75.png,第1サポート:4866下(-42612) / 第2サポート:10466下(-48212) / 第3サポート:15282下(-53028) / 第4サポート:28819下(-66565) / 最重要サポート:32697下(-70443)
19,119,20260501,20260430,49.5,高,中立,陰線2連続後,25,-366048,images/119.png,第1サポート:6932下(-372980) / 第2サポート:15108下(-381156) / 第3サポート:19682下(-385730) / 第4サポート:30368下(-396416) / 最重要サポート:39744下(-405792)
20,62,20260501,20260430,49.38,低〜中,中立,陽線1連続後,64,-334647,images/62.png,第1サポート:4566下(-339213) / 第2サポート:7399下(-342046) / 第3サポート:12435下(-347082) / 第4サポート:19786下(-354433) / 最重要サポート:23929下(-358576)
21,74,20260501,20260430,49.16,高,中立,陽線1連続後,71,-34785,images/74.png,第1サポート:3400下(-38185) / 第2サポート:9189下(-43974) / 第3サポート:14131下(-48916) / 第4サポート:18318下(-53103) / 最重要サポート:22521下(-57306)
22,76,20260501,20260430,48.91,高,中立,陽線後,129,-204744,images/76.png,第1サポート:4880下(-209624) / 第2サポート:8700下(-213444) / 第3サポート:11845下(-216589) / 第4サポート:17826下(-222570) / 最重要サポート:24098下(-228842)
23,42,20260501,20260430,48.74,高,中立,陽線1連続後,74,171270,images/42.png,第1サポート:6702下(164568) / 第2サポート:10102下(161168) / 第3サポート:14865下(156405) / 第4サポート:20492下(150778) / 最重要サポート:34932下(136338)
24,54,20260501,20260430,48.72,高,中立,陽線後,118,-198547,images/54.png,第1サポート:13568下(-212115) / 第2サポート:16752下(-215299) / 第3サポート:28579下(-227126) / 第4サポート:32074下(-230621) / 最重要サポート:38798下(-237345)
25,110,20260501,20260430,48.36,高,中立,陰線2連続後,14,202649,images/110.png,第1サポート:3784下(198865) / 第2サポート:12049下(190600) / 第3サポート:24310下(178339) / 第4サポート:26860下(175789) / 最重要サポート:32359下(170290)
26,40,20260501,20260430,47.62,低,弱トレンド,陽線1連続後,64,119545,images/40.png,第1サポート:6081下(113464) / 第2サポート:8676下(110869) / 第3サポート:12134下(107411) / 第4サポート:15744下(103801) / 最重要サポート:25362下(94183)
27,44,20260501,20260430,46.35,高,中立,陰線1連続後,71,92766,images/44.png,第1サポート:5713下(87053) / 第2サポート:11695下(81071) / 第3サポート:14379下(78387) / 第4サポート:17670下(75096) / 最重要サポート:21965下(70801)
28,41,20260501,20260430,45.89,低,弱トレンド,陽線1連続後,72,-384609,images/41.png,第1サポート:5154下(-389763) / 第2サポート:9653下(-394262) / 第3サポート:13549下(-398158) / 第4サポート:17544下(-402153) / 最重要サポート:26665下(-411274)
29,72,20260501,20260430,45.66,低,弱トレンド,陰線2連続後,43,178754,images/72.png,第1サポート:7141下(171613)
