rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports
1,158,20260509,20260508,84.21,中,順張り寄り,陽線後,7,57301,images/158.png,第1サポート:6378下(50923) / 第2サポート:14966下(42335) / 第3サポート:22607下(34694) / 第4サポート:35852下(21449) / 最重要サポート:56832下(469)
2,44,20260509,20260508,61.17,低,反発狙い・要注意,陰線5連続後,9,54024,images/44.png,第1サポート:9755下(44269) / 第2サポート:32418下(21606)
3,113,20260509,20260508,61.06,高,順張り寄り,陽線2連続後,18,211987,images/113.png,第1サポート:14976下(197011) / 第2サポート:19591下(192396) / 第3サポート:23047下(188940) / 第4サポート:26044下(185943) / 最重要サポート:29202下(182785)
4,149,20260509,20260508,60.05,中,中立,陽線2連続後,11,21076,images/149.png,第1サポート:2228下(18848) / 第2サポート:15399下(5677) / 第3サポート:20022下(1054) / 第4サポート:24173下(-3097) / 最重要サポート:30309下(-9233)
5,74,20260509,20260508,55.5,高,順張り寄り,陰線1連続後,78,12019,images/74.png,第1サポート:7824下(4195) / 第2サポート:14421下(-2402) / 第3サポート:19424下(-7405) / 第4サポート:23547下(-11528) / 最重要サポート:35032下(-23013)
6,156,20260509,20260508,54.5,低,弱トレンド,陰線後,5,-30350,images/156.png,第1サポート:2506下(-32856)
7,153,20260509,20260508,54.06,低,反発狙い,陰線4連続後,9,276764,images/153.png,第1サポート:4413下(272351) / 第2サポート:7572下(269192) / 第3サポート:13039下(263725) / 第4サポート:27379下(249385) / 最重要サポート:42457下(234307)
8,68,20260509,20260508,53.81,低〜中,弱トレンド,陽線1連続後,65,-32610,images/68.png,第1サポート:8197下(-40807) / 第2サポート:29319下(-61929) / 第3サポート:37891下(-70501)
9,69,20260509,20260508,53.33,高,中立,陽線後,138,312185,images/69.png,第1サポート:2132下(310053) / 第2サポート:9423下(302762) / 第3サポート:18417下(293768) / 第4サポート:24266下(287919) / 最重要サポート:29104下(283081)
10,122,20260509,20260508,53.23,高,中立,陰線1連続後,44,-152596,images/122.png,第1サポート:12723下(-165319) / 第2サポート:24393下(-176989) / 第3サポート:26968下(-179564) / 第4サポート:32495下(-185091) / 最重要サポート:37892下(-190488)
11,64,20260509,20260508,52.25,高,中立,陰線1連続後,77,-186145,images/64.png,第1サポート:3162下(-189307) / 第2サポート:7604下(-193749) / 第3サポート:10987下(-197132) / 第4サポート:13947下(-200092) / 最重要サポート:16725下(-202870)
12,35,20260509,20260508,51.64,低,反発狙い,陰線4連続後,14,-105960,images/35.png,第1サポート:2242下(-108202) / 第2サポート:6600下(-112560)
13,75,20260509,20260508,51.21,高,中立,陽線2連続後,35,-2811,images/75.png,第1サポート:5346下(-8157) / 第2サポート:9082下(-11893) / 第3サポート:18477下(-21288) / 第4サポート:27547下(-30358) / 最重要サポート:34151下(-36962)
14,63,20260509,20260508,51.07,高,中立,陰線1連続後,79,-123287,images/63.png,第1サポート:3092下(-126379) / 第2サポート:9245下(-132532) / 第3サポート:17112下(-140399) / 第4サポート:25840下(-149127) / 最重要サポート:35050下(-158337)
15,51,20260509,20260508,50.88,低〜中,弱トレンド,陰線2連続後,42,42275,images/51.png,第1サポート:2088下(40187) / 第2サポート:9737下(32538) / 第3サポート:21751下(20524) / 第4サポート:35409下(6866)
